food,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
야채전,100,194.94,24.97,0,8.78,4.95,31.17,77.6,322.92,436.24,20.51,1.3,0.62,23.75,0
파전,150,280.55,37.46,0,12.04,7.73,87.6,118.32,338,481.77,0,1.91,0.9,57,0
호박부침개,100,130.72,8.67,0,9.24,3.37,13.6,40.5,172.03,192.72,3.81,0.62,0.3,61.75,0
호박전,150,215.28,16.56,0,14.42,6.59,48.65,95.99,274.63,669.09,0,1.65,0.86,106.88,0
달걀말이,100,172.24,4.67,0,11.23,12.04,49.64,169.3,323.32,200.88,13.2,1.57,1.39,475,0
두부부침,100,134.88,4.29,0,8.76,9.92,131.04,150.14,199.83,119.91,1.46,1.64,1.07,0,0
두부전,150,253.89,8.08,0,18.03,18.66,227.92,274.75,500.53,186.62,0,2.92,1.97,66.5,0
건새우볶음,20,69.19,4.81,2.7,2.3,7.22,259.68,143.34,193.09,105.61,0,0.62,0.93,74.4,0
낙지볶음,200,180.59,23.51,6.7,3,17.87,86.24,255.66,868.88,763.14,0,2.5,3.02,135.2,0
멸치볶음,20,69.23,5.69,3.43,2.04,6.97,138.09,157.86,274.1,204.09,0,0.93,0.28,83.55,0
어묵볶음,150,281.54,36.28,4.47,8.08,18.04,120.59,167.69,1283.83,459.18,0,2.32,1.32,18.9,0
오징어볶음,200,243.7,27.42,9.28,6.84,20.43,94.34,294.84,1025.86,822.24,0,2.88,2.48,198,0
오징어채볶음,20,55.71,7,1.35,0.69,5.39,6.23,64.82,240.96,50.89,0,0.28,0.41,50.05,0
주꾸미볶음,200,211.81,21.69,6.7,6.11,20.16,88.04,278.06,969.88,699.04,0,3.67,3.32,385.6,0
해물볶음,400,420.53,36.53,7.66,15.32,37.48,148.98,522.01,1647.02,1158.85,0,14.84,4.23,376.2,0
감자볶음,50,57.8,8.23,0.5,2.53,1.34,10.63,33.28,219.94,254.61,0,0.39,0.3,0,0
김치볶음,200,189.97,21.83,8.96,12.13,5.29,116.21,150.16,1513.41,766.98,0,2.12,1.27,0,0
깻잎나물볶음,200,212.39,17.33,0.2,16.37,8.03,670.52,172.55,1046.43,933.81,0,5.58,1.4,5.2,0
느타리버섯볶음,150,133.32,14.22,0.15,8.93,4.41,21.59,98.74,625.25,530.39,0,1.13,1.55,0,0
두부김치,250,292.42,13.84,0,21.32,19.15,153.45,311.65,1033.85,740.55,0,4.38,3.14,30,0
머위나물볶음,150,102.99,7.71,0,7.95,4.3,101.09,94.61,696.92,529.54,0,2.56,0.44,0,0
양송이버섯볶음,150,132.42,10.55,0,9.79,5.46,33.02,161.61,520.11,856.38,0,2.51,1.3,0,0
표고버섯볶음,150,143.6,14.28,1.49,7.36,4.01,31.77,67.16,563.59,512.86,0,2.43,0.85,0,0
고추잡채,200,264.22,22.11,8.45,12.71,12.86,54.82,219.04,850.31,561.56,0,2.83,2.15,50.8,0
호박볶음,50,29.19,3.09,0,2.01,0.77,10.37,20.39,223.28,135.05,0,0.37,0.17,0.07,0
돼지고기볶음,200,353.13,15.33,4.75,20.94,25.75,32.86,402.25,1060.33,457.95,0,3.94,4.54,84,0
돼지껍데기볶음,150,346.14,22.73,15.84,19.23,22.39,29.84,72.08,759.29,267.06,0,2.28,1.24,95.4,0
소세지볶음,200,476.04,28.81,5.83,33.24,17.04,27.46,260.35,1409.05,495.96,0,2.5,2.22,56.26,0
순대볶음,400,579.56,70.96,14.29,25.61,17.58,271.54,265.92,1379.55,1048.02,0,8.1,4.43,189.92,0
오리불고기,250,559.93,24.47,4.07,34.25,38.16,66.06,420.21,854.07,1004.86,0,5.8,4.84,124.82,0
오삼불고기,200,356.94,21.46,7.42,20.24,23.35,77.92,307.85,870.4,635,0,2.21,2.78,164.3,0
떡볶이,200,300.76,58.85,5.7,2.96,8.72,72.03,179.37,862.23,251.44,0,1.57,1.11,6,0
라볶이,200,266.03,41.13,6.36,9.59,7.96,43.56,93.55,836.24,276.68,0,1.73,0.59,6.9,0
마파두부,200,226.92,10.99,0.57,12.01,16.85,153.43,257.27,647.45,332.84,0,3.08,2.27,19.15,0
가자미조림,300,301.29,20.34,5.99,6.9,40.7,114.12,417.78,1621.23,1153.38,0,3.29,1.56,165,0
갈치조림,100,99.39,5.49,0.5,3.92,10.68,38.67,129.74,463.82,302.99,6.18,1.15,0.6,42,0
고등어조림,250,459.34,10.96,1.46,25.35,45.37,124.96,554.48,1177.96,1033.41,0,5.19,2.68,170.15,0
꽁치조림,150,280.09,8.36,1.39,16.67,22.59,113.62,294.58,679.42,448.77,0,3.34,1.14,67.2,0
동태조림,250,270.61,16.77,5,4.09,39.03,148.76,525.69,1440.18,982.83,0,2.06,1.41,211.05,0
북어조림,100,184.58,15.66,2.91,3.04,23.88,97.1,246.45,761.39,487.86,8.05,1.81,0.55,103.95,0
조기조림,300,378.26,14.24,1.45,16.26,41.43,108.47,443.38,1682.9,1222.74,0,3.75,2.43,176.61,0
코다리조림,100,146.67,4.57,0.5,5.62,18.46,42.41,197.97,433.18,324.84,3.85,0.85,0.51,77.6,0
달걀장조림,100,133.73,10.03,3.17,6.4,8.75,45.52,132.58,636.61,267.37,15.6,1.35,1.07,308.75,0
메추리알장조림,100,205.08,7.36,2.45,13.69,12.11,65.22,190.66,758.9,279.19,4.75,1.93,1.72,530.64,0
돼지고기메추리알장조림,50,62.97,3.14,0.84,2.11,7.62,11.3,78.71,555.79,153.47,0,0.73,0.86,77.3,0
소고기메추리알장조림,50,61.22,3.45,1,2.21,6.67,17.18,77.91,608.3,169.55,0,1.78,0.86,70.17,0
고추조림,100,105.88,14.83,2.99,4.19,2.86,31.72,52.22,802.46,185.44,18.67,0.89,0.44,0,0
감자조림,50,39.01,8.4,0.79,0.2,1.55,9.76,35.95,265.92,222.52,0,0.41,0.25,0,0
우엉조림,30,68.5,15.51,7.61,0.33,1.1,15.62,24.22,242.28,106.85,0,0.32,0.24,0,0
알감자조림,50,56.23,10.48,1.57,1.26,1.38,13.1,40.96,241.73,214.52,0,0.82,0.28,0,0
(검은)콩조림,20,56.83,6.98,2.92,2.09,3.85,24.8,64.41,102.85,33.39,0,0.88,0.31,0,0
콩조림,20,59.22,7.75,2.92,1.94,3.57,14.38,9.88,234.7,128.36,0,0.87,0.43,0,0
두부고추장조림,50,67.14,4.03,1.89,4,5.14,69.91,81.64,199.23,79.71,0,0.96,0.58,0,0
땅콩조림,20,80.42,6.54,3.27,5.11,2.91,14.63,45.44,154.25,90.95,0,0.58,0.72,0,0
미꾸라지튀김,100,382.13,30.57,0,22.54,12.69,342.03,254.09,323.26,192.6,11.2,4.4,1.64,121.3,0
새우튀김,100,311.26,21.83,0,19.64,11.83,39.88,130.66,553.89,183.43,5.95,1.08,0.91,165.9,0
생선가스,200,646.21,57.38,0,37.09,24.5,34.16,303.64,817.27,229.95,0,1.95,1.43,176.3,0
쥐포튀김,100,353.33,37.99,0,16.54,11.21,26.87,127.54,423.8,145.28,13.7,1,0.48,75.64,0
오징어튀김,100,308.43,26.02,0,16.5,13.46,21.98,196.91,361.57,186.94,22.22,0.74,0.99,133,0
닭강정,100,323.25,24.21,1.74,15.56,18.34,18.98,179.07,413.14,104.22,5.75,1.37,2,107.5,0
닭튀김,300,909.81,45.92,0,52.34,54.55,94.75,533.19,1150.13,512.28,0,5.45,6.08,380.63,0
돈가스,200,620.64,36.56,0,39.12,27.78,31.36,264.76,557.09,685.79,0,2.2,3.04,138.34,0
모래집튀김,150,457.35,31.86,0,25.89,22.29,72.28,247.59,297.01,459.02,0,1.47,0.86,137.65,0
양념치킨,200,567.58,38.84,12.36,31.15,30.47,51,315.66,777.86,381.26,0,3.35,3.52,259,0
치즈돈가스,250,758.5,45.48,0,46.15,36.02,72.78,344.36,855.05,569.98,0,2.51,3.6,146.4,0
치킨가스,200,582.01,51.28,0,28.64,31.03,32.65,186.99,748.73,384.26,0,2.03,2.02,113.3,0
탕수육,200,454.44,56.49,1.9,16.59,17.06,36.44,194.01,403.26,468.95,0,2.12,1.68,76.48,0
깐풍기,200,585.08,43.36,13.94,33.34,27.8,41.02,184.71,629.27,523.54,0,2.73,1.93,173,0
감자튀김,150,462.11,50.1,0,25.76,6.24,10.32,95.48,374.22,344.24,0,1.43,0.46,0,0
고구마맛탕,200,490.93,90.19,1.43,13.53,3.3,108.33,94.47,213.33,587.22,0,3.61,1.13,0,0
고구마튀김,100,241.57,34.1,0,10.8,3.21,20.69,73.99,150.64,298.57,18.1,0.63,0.31,19,0
고추튀김,100,198.35,12.74,0,13.63,6.48,23.39,99.96,260.65,147.68,12.92,0.9,0.7,190,0
김말이튀김,100,240.56,32.49,0,12.38,2.25,28.85,61.65,393.02,123.57,0.64,1.28,0.22,0,0
채소튀김,100,311.99,36.35,0,18.53,3.01,33.33,91.97,277.28,274.17,11.29,0.52,0.33,0,0
노각무침,150,81.35,16.43,5.09,2.07,3.09,38.82,89.11,822.1,573.2,0,1.67,0.81,0,0
단무지무침,50,19.19,3.22,0.97,0.91,0.47,17.34,13.32,447.86,87.64,0,0.37,0.17,0,0
달래나물무침,150,132.69,25.26,13.54,3.3,4.77,119.65,101.45,852.99,554.06,0,2.59,1.2,0,0
더덕무침,150,220.89,48.44,31.54,2.74,4.89,35.8,129.72,1203.58,286.31,0,2.49,0.31,0,0
도라지생채,150,165.23,38.59,3,1.71,4.15,75.06,151.51,789.08,725.86,0,6.41,0.4,0,0
도토리묵,100,43.05,9.87,1.4,0.35,0.4,8.82,28.49,116.47,41.84,1.21,0.46,0.12,0,0
마늘쫑무침,30,38.12,9.35,3.28,0.28,0.98,9.23,23.69,423.46,95.61,0,0.34,0.38,0,0
무생채,150,73.68,16,4.5,1.28,2.63,73.92,69.6,832.19,478.52,0,1.78,0.78,1.68,0
무말랭이,30,39.89,9.63,1.03,0.34,1.36,35.82,35.25,378.78,252.68,0,0.95,0.18,0.04,0
오이생채,50,23.36,4.63,1.52,0.5,0.89,14.82,33.46,269.31,147.13,0,0.44,0.2,0,0
파무침,150,124.3,19.47,8.37,5.41,3.82,146.02,81.48,693.83,377.3,0,2.39,0.41,10.05,0
상추겉절이,200,130.62,17.99,2,6.25,5.65,136.84,146.78,952.32,850.54,0,3.27,1.18,5.36,0
쑥갓나물무침,150,94.86,8.78,0,6.51,5.49,69.17,87.67,700.12,453.75,0,2.87,0.44,0,0
청포묵무침,250,157.61,19.68,13.74,4.23,2.96,67.04,99.44,756.74,334.03,0,1.94,0.74,2.35,0
해파리냉채,150,87.29,13.83,7.49,1.55,6.63,69.36,220.37,490.13,360.6,0,5.35,0.98,17.63,0
가지나물,50,21.87,3.03,0,1.27,0.73,11.32,20.29,159.17,125.29,0,0.34,0.14,0,0
고사리나물,50,43.51,3.8,0,3.26,1.97,20.35,32.94,251.53,302.39,0,1.81,0.94,0,0
도라지나물,50,54.68,5.34,0,3.82,0.67,15.1,24.06,256.67,104.97,0,0.91,0.08,0,0
무나물,50,34.58,3.04,0,2.56,0.58,18.05,16.53,293.52,143.43,0,0.46,0.2,0,0
미나리나물,50,28.34,2.56,0,2.14,0.99,18.45,28.82,165.52,239.04,0,1.16,0.19,0,0
숙주나물,50,19.51,1.56,0,1.35,1.31,10.11,20.87,186.73,85.47,0,0.38,0.19,0,0
시금치나물,50,37.51,3.82,0,2.37,2.07,37.59,24.55,217.26,311.26,0,1.77,0.4,0,0
취나물,50,72.94,3.46,0,6.71,1.6,58.38,30.07,288.65,222.98,0,1.09,0.03,0,0
콩나물,50,24.13,1.15,0,1.98,1.64,12.78,21.61,203.5,78.36,0,0.43,0.23,0,0
고구마줄기나물,50,30.44,2.97,0,2.24,0.63,28.19,19.65,255.71,73.77,0,0.91,0.18,0,0
우거지나물무침,150,126.11,10.28,1.5,8.66,5.08,513,108.69,774.55,94.11,0,21.9,0.45,0,0
골뱅이무침,100,107.35,15.56,6.06,2.3,7.91,40.48,89.79,515.92,346.35,4.94,1.44,0.88,45.56,0
김무침,30,81.01,12.19,6.93,4.12,4.71,45.44,95.12,498.63,413.57,0,2.16,0.57,0,0
미역초무침,50,24.94,5.7,4,0.54,1.07,47.27,28.82,285.8,236.75,0,0.4,0.12,0,0
북어채무침,150,332.05,31.33,18.02,5.8,37.37,245.11,744.84,1048.53,782.64,0,2.58,0.89,108.57,0
회무침,300,311.59,42.88,26.41,4.26,27.18,200.1,314.51,1253.25,955.84,0,4.38,1.68,61.38,0
쥐치채,20,53.39,10.18,6.6,0.2,2.77,14.29,31.71,289.45,78.51,0,0.3,0.12,5.93,0
파래무침,30,31.59,5.43,0.9,0.69,2.34,64.54,19.04,252.05,74.49,0,1.71,0.15,0,0
홍어무침,200,193.14,24.9,9.43,2.27,21.64,337.43,320.55,817.42,842.66,0,3.47,1.26,79.2,0
골뱅이국수무침,230,256.42,39.63,0,7.01,10.52,97.58,151.38,911.74,492.58,0,2.84,1.23,39.98,0
오징어무침,200,249.53,13.55,0,4.19,38.67,78.58,556.64,682.39,660.14,0,1.86,3.4,430.92,0
잡채,150,198.82,37.47,2.99,4.7,2.59,50.13,53.94,664.75,294.12,0,2.91,0.48,14.25,0
탕평채,100,101.19,10.2,6.99,3.11,3.53,38.8,89.96,247.42,269.97,6.26,1.23,0.82,4.95,0
갓김치,50,27.64,5.21,0.42,0.7,1.98,83.19,30.59,447.77,222.81,0,1.32,0.48,3.51,0
고들빼기,50,55.39,11.99,0,0.56,2.21,37.38,44.59,733.75,177.84,0,1.8,0.37,0.55,0
깍두기,50,17.99,3.95,0.05,0.23,1,19.16,15.33,338.88,148.05,0,0.56,0.14,4.07,0
깻잎김치,150,124.49,23.27,2.99,3.16,6.1,131.99,93.45,1907.64,752.09,0,3.01,1.27,29.66,0
나박김치,100,14.75,2.26,0.01,0.42,0.63,12.54,11.62,509.47,77.83,0.03,0.36,0.08,0,0
동치미,400,57.69,14.26,0,0.64,2.7,43.02,47.37,2313.58,438.22,0,1.39,0.29,0,0
배추겉절이,50,21.24,4.48,1,0.5,0.94,21.84,23.14,325.41,182.36,0,0.48,0.31,1.34,0
배추김치,50,18.43,4.16,0.5,0.3,1.15,35.85,24.24,309.53,207.14,0,0.63,0.32,3.41,0
백김치,50,19.8,4.38,0,0.26,0.8,22.88,18.19,211.72,153.42,0,0.43,0.24,0.04,0
부추김치,50,32.91,6.29,3.49,0.57,1.88,13.93,15.23,399.38,228.66,0,1.28,0.19,0,0
열무김치,50,16.29,3.16,1.2,0.35,1.34,64.55,28.57,308.35,411.85,0,1.39,0.13,0,0
열무얼갈이김치,50,16.57,3.03,0,0.4,1.27,47.91,33.17,344.2,177,0,0.84,0.21,4.2,0
오이소박이,50,16.67,2.96,1.2,0.53,0.94,22.34,39.57,276.19,184.88,0,0.54,0.19,1.45,0
총각김치,50,17.56,3.44,0,0.37,1.03,50.19,25.63,347.17,168.11,0,0.88,0.19,4.43,0
파김치,50,28.01,5.47,1,0.7,1.55,46.63,20.36,395.87,179.12,0,0.82,0.34,4.69,0
간장게장,250,292.7,13.89,0.17,2.09,32.67,267.12,458.43,3075.53,1137.69,0,7.55,8.41,223.13,0
마늘쫑장아찌,50,28.27,6.19,2.35,0.13,1.05,8.39,23.65,778.6,105.69,0,0.33,0.34,0,0
고추장아찌,30,22.36,4.18,3,0.09,0.8,4.75,16.66,787.3,83.33,0,0.22,0.14,0,0
깻잎장아찌,30,33.64,7.87,2.78,0.36,2.11,84.17,40.46,568.75,220.79,0,1.01,0.43,0.63,0
마늘장아찌,30,16.06,3.07,0.3,0.02,0.79,1.74,14.8,481.75,64.27,0,0.12,0.13,0,0
무장아찌,30,27.34,5.31,3.3,0.26,0.57,15.62,15.06,933.28,106.02,0,0.32,0.15,0,0
양념게장,200,275.55,46.33,26.52,2.06,20.41,165.87,283.47,1747.84,792.52,0,5.25,5.23,134.4,0
양파장아찌,50,19.72,3.54,1.5,0.05,0.58,5.05,13.41,423.61,63.34,0,0.18,0.13,0,0
오이지,50,11.44,2.39,0,0.31,1.14,30.22,80.08,926,328.19,0,0.63,0.32,0,0
무피클,50,17,4.19,1.99,0.05,0.4,13.08,11.56,6.6,108.32,0,0.35,0.15,0,0
오이피클,50,54,14.64,1.99,0.15,0.3,15.08,4.06,333.6,27.32,0,0.5,0.05,0,0
단무지,30,3.9,0.66,0.23,0.16,0.11,5.2,3.54,173.55,16.08,0,0.09,0.04,0,0
오징어젓갈,10,6.83,0.29,0,0.1,1.24,2.4,17.6,179.11,27.04,2.07,0.07,0.11,13.68,0
명란젓,10,12,0.27,0,0.3,2.05,2.8,24.9,353.1,41,0,0.12,0.2,35,0
생연어,100,110.29,1,0,1.94,20.91,26.91,249.04,213.06,349.6,0.8,1.26,0.56,60,0
생선물회,800,575.01,81.45,29.37,14.13,36.77,267.85,499.47,2986.23,1560.18,0,8.17,2.89,0.76,0
광어회 ,100,116.2,9.34,5.46,1.36,17.2,46.6,171.2,754.4,382,0,1.54,0.4,74.96,0
훈제연어,100,169,9.34,5.46,6.16,19.28,20.2,200,1260.8,218.8,0,0.9,0.61,141.6,0
육회,150,236.56,15.95,7.04,8.05,25.03,45.81,244.28,433.42,608.35,0,3.05,4.77,57.75,0
육사시미,150,203.55,6.96,4.1,6.08,29.28,30.15,252,888.03,541.8,0,7.95,3.64,63.45,0
가래떡,100,205.04,45.05,0,0.33,3.52,2.46,77,254.68,90.53,0,0.22,0.83,0,0
경단,100,303.79,67.04,0,0.54,6.58,17.87,109.13,186.36,99.27,0,1.57,1.4,0,0
꿀떡,100,225.92,50.36,9.58,0.76,3.24,7.1,71.46,251.34,83.74,0.1,0.3,0.78,0,0
시루떡,100,223.62,49.03,5.99,0.28,5.5,16.63,59.45,278.95,212.64,0,1.11,1.35,0,0
메밀전병,100,166.14,24.82,0,5.5,5.79,37.04,137.63,340.66,274.49,69.82,1.41,0.97,0,0
찰떡,100,216.19,44.88,5.5,1.24,5.81,15.19,83.83,236.82,151.4,9.89,1.61,1.51,0,0
무지개떡,100,218.18,48.7,6.99,0.87,4,26.73,89.28,277.71,115.01,0,0.48,1.02,0,0
백설기,100,218.82,48.2,11.99,0.79,4.04,10.82,78.99,296.95,96.9,4.2,0.55,0.75,0,0
송편,100,234.9,46.82,1.52,2.7,4.17,45.98,77.16,236.55,67.89,19.97,1.13,0.57,0,0
수수부꾸미,100,258.99,46.15,3,5.67,5.5,6.37,95.48,270.04,162.45,0,1.05,1.33,0,0
수수팥떡,100,212.73,45.17,1,0.68,5.98,7.49,99.64,236.38,182.04,0,1.13,1.4,0,0
쑥떡,100,238.06,54.64,9.99,0.45,4.53,65.2,65.55,256.15,343.62,17.5,1.59,0.55,0,0
약식,100,232.21,48.88,7.99,2.27,3.83,12.89,79.74,290.64,142.12,12.11,2.53,1.3,0.16,0
인절미,100,214.46,42.55,0,1.76,6.4,15.04,117.19,337.74,232.64,11.27,1.86,1.59,0,0
절편,100,197.81,44.07,5,0.35,3.06,2.5,66.88,266.77,79.46,0,0.22,0.72,0,0
증편,100,198.69,44.22,15.98,0.34,2.54,6.84,52.05,259.04,61,0,0.23,0.56,0,0
찹쌀떡,100,264.74,62.08,13.99,0.23,3.41,15.68,71.71,226.38,86.78,7.71,1.46,1.13,0,0
매작과,30,121.48,19.06,0,3.57,2.55,3.32,26.46,31.05,42.39,0,0.43,0.13,0,0
다식,30,105.17,20.81,6.46,1.73,3.55,1.43,100.07,3.85,206.71,0,0.52,0.04,0,0
약과,30,113.85,22.18,2.15,1.24,2.57,4.45,28.23,16.46,59.42,0,0.57,0.14,0,0
유과,30,129.06,24.14,1.12,3.5,0.36,1.21,3.6,7.06,0.03,0,0.24,0.2,0,0
산자,30,121.7,24.7,10.63,1.2,0.91,2,20.36,8.01,60.93,0,0.41,0.27,0,0
깨강정,30,150.3,13.62,0,9.87,4.5,156,125.7,24.3,67.5,0,1.38,2.13,0,0
